,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 R$ milhões (exceto quando indicado),1T18,2T18,3T18,4T18,1T19,2T19,3T19,4T19,1T20,2T20,3T20,4T20,1T21,2T21,3T21,4T21,1T22,2T22,3T22,4T22,1T23,2T23,"3T23
Reapresentado",4T23,1T24,2T24,3T24,4T24,1T25,,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Vendas Totais (incluindo marketplace) ,"4,466.2 ","4,618.8 ","4,640.6 ","5,942.3 ","5,718.0 ","5,747.0 ","6,817.6 ","8,988.1 ","7,662.5 ","8,566.5 ","12,355.5 ","14,932.2 ","12,472.7 ","13,746.4 ","13,843.8 ","15,544.8 ","14,124.3 ","13,922.7 ","14,154.1 ","17,959.7 ","15,548.2 ","14,727.2 ","14,833.5 ","17,947.4 ","16,028.3 ","15,385.1 ","15,497.7 ","18,419.9 ","16,053.5 ",,"19,667.8 ","27,270.7 ","43,516.7 ","55,607.7 ","60,160.7 ","63,056.3 ","65,330.9 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Receita Bruta Total,"4,366.3 ","4,487.3 ","4,444.5 ","5,598.5 ","5,313.2 ","5,196.2 ","5,999.4 ","7,868.3 ","6,486.3 ","6,816.6 ","10,349.5 ","12,463.7 ","10,118.4 ","10,912.8 ","10,474.9 ","11,476.5 ","10,576.9 ","10,367.2 ","10,729.0 ","13,515.8 ","11,311.5 ","10,645.9 ","10,571.0 ","13,062.5 ","11,530.1 ","11,177.3 ","11,165.5 ","13,404.1 ","11,633.9 ",,"18,896.5 ","24,377.1 ","36,116.0 ","42,982.7 ","45,189.0 ","45,591.0 ","47,277.0 "
 Receita Líquida Total,"3,613.3 ","3,696.2 ","3,670.5 ","4,610.5 ","4,329.0 ","4,308.1 ","4,864.2 ","6,385.0 ","5,234.7 ","5,568.2 ","8,308.3 ","10,065.8 ","8,252.8 ","9,013.3 ","8,612.0 ","9,400.0 ","8,762.2 ","8,562.4 ","8,807.0 ","11,167.4 ","9,067.3 ","8,572.3 ","8,578.8 ","10,549.7 ","9,239.3 ","9,010.0 ","9,001.5 ","10,787.3 ","9,389.0 ",,"15,590.4 ","19,886.3 ","29,177.1 ","35,278.2 ","37,299.0 ","36,768.1 ","38,038.1 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Lucro Bruto,"1,043.4 ","1,108.0 ","1,089.9 ","1,296.2 ","1,211.4 ","1,092.2 ","1,424.9 ","1,825.4 ","1,420.5 ","1,435.2 ","2,178.7 ","2,485.6 ","2,070.1 ","2,308.3 ","1,734.1 ","2,374.3 ","2,431.8 ","2,452.8 ","2,454.7 ","3,099.7 ","2,479.3 ","2,468.6 ","2,023.1 ","3,192.8 ","2,763.4 ","2,782.3 ","2,837.6 ","3,244.0 ","2,877.0 ",,"4,537.4 ","5,554.0 ","7,520.0 ","8,486.8 ","10,438.9 ","10,163.9 ","11,627.3 "
 Margem Bruta,28.9%,30.0%,29.7%,28.1%,28.0%,25.4%,29.3%,28.6%,27.1%,25.8%,26.2%,24.7%,25.1%,25.6%,20.1%,25.3%,27.8%,28.6%,27.9%,27.8%,27.3%,28.8%,23.6%,30.3%,29.9%,30.9%,31.5%,30.1%,30.6%,,29.1%,27.9%,25.8%,24.1%,28.0%,27.6%,30.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 EBITDA,300.5 ,312.4 ,278.9 ,353.5 ,395.4 ,379.9 ,501.2 ,499.1 ,332.6 ,143.7 ,546.1 ,504.7 ,695.6 ,465.1 ,134.8 ,(7.9),339.5 ,457.4 ,496.1 ,642.3 ,324.1 ,283.9 ,(286.0),548.6 ,684.9 ,655.0 ,713.5 ,842.4 ,761.2 ,,"1,245.2 ","1,775.5 ","1,527.1 ","1,287.6 ","1,935.3 ",870.5 ,"2,895.7 "
 Margem EBITDA,8.3%,8.5%,7.6%,7.7%,9.1%,8.8%,10.3%,7.8%,6.4%,2.6%,6.6%,5.0%,8.4%,5.2%,1.6%,-0.1%,3.9%,5.3%,5.6%,5.8%,3.6%,3.3%,-3.3%,5.2%,7.4%,7.3%,7.9%,7.8%,8.1%,,8.0%,8.9%,5.2%,3.6%,5.2%,2.4%,7.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 EBITDA Ajustado,289.9 ,314.2 ,281.0 ,348.2 ,385.5 ,380.5 ,397.5 ,496.2 ,273.9 ,147.2 ,561.2 ,523.8 ,427.2 ,455.4 ,351.0 ,243.5 ,434.2 ,492.1 ,527.5 ,673.7 ,448.0 ,439.8 ,487.5 ,756.5 ,687.8 ,710.7 ,717.6 ,846.2 ,758.8 ,,"1,233.3 ","1,659.7 ","1,506.0 ","1,477.1 ","2,127.5 ","2,131.8 ","2,962.2 "
 Margem EBITDA Ajustado,8.0%,8.5%,7.7%,7.6%,8.9%,8.8%,8.2%,7.8%,5.2%,2.6%,6.8%,5.2%,5.2%,5.1%,4.1%,2.6%,5.0%,5.7%,6.0%,6.0%,4.9%,5.1%,5.7%,7.2%,7.4%,7.9%,8.0%,7.8%,8.1%,,7.9%,8.3%,5.2%,4.2%,5.7%,5.8%,7.8%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
